City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,7.74,73,89,1.6,NZ,1685986296
1,west island,-12.1568,96.8225,25.99,78,75,8.23,CC,1685986296
2,port-aux-francais,-49.35,70.2167,4.22,67,82,17.36,TF,1685986296
3,avtury,43.16,46.0,22.38,94,100,2.66,RU,1685986296
4,zhangye,38.9342,100.4517,19.57,41,100,5.7,CN,1685986296
5,arno,60.1167,18.6333,12.1,67,72,3.43,SE,1685986297
6,waitangi,-43.9535,-176.5597,9.9,62,98,8.24,NZ,1685986297
7,shagonar,51.5333,92.8,17.26,57,68,0.25,RU,1685986297
8,invercargill,-46.4,168.35,4.02,92,34,1.91,NZ,1685986297
9,hermanus,-34.4187,19.2345,9.33,63,100,1.88,ZA,1685986297
10,bilibino,68.0546,166.4372,9.13,73,100,1.46,RU,1685986297
11,thompson,55.7435,-97.8558,20.09,68,75,2.57,CA,1685986298
12,nar'yan-mar,67.6713,53.087,6.02,70,100,10.83,RU,1685986298
13,torres,-29.3353,-49.7269,18.67,77,81,4.76,BR,1685986298
14,albany,42.6001,-73.9662,22.47,48,91,1.34,US,1685986041
15,salalah,17.0151,54.0924,30.05,79,20,4.12,OM,1685986298
16,arteche,12.2645,125.4048,25.68,90,65,0.66,PH,1685986298
17,anadyr,64.75,177.4833,3.28,93,75,7.0,RU,1685986298
18,brookings,44.3114,-96.7984,29.58,51,0,2.06,US,1685986298
19,papao,-17.75,-149.55,24.82,75,47,5.87,PF,1685986299
20,dover,39.1582,-75.5244,23.99,50,40,4.12,US,1685986259
21,saint-philippe,-21.3585,55.7679,22.77,87,32,6.42,RE,1685986299
22,ilulissat,69.2167,-51.1,-0.99,86,75,2.06,GL,1685986299
23,blackmans bay,-43.0167,147.3167,6.07,90,55,4.48,AU,1685986299
24,bethel,41.3712,-73.414,22.86,53,20,7.2,US,1685986272
25,alice springs,-23.7,133.8833,14.75,72,96,0.0,AU,1685986235
26,mar del plata,-38.0023,-57.5575,14.01,47,0,4.12,AR,1685986276
27,port alfred,-33.5906,26.891,14.21,69,100,5.24,ZA,1685986300
28,victorica,-36.2151,-65.4359,19.83,40,97,8.28,AR,1685986300
29,olonkinbyen,70.9221,-8.7187,0.22,77,99,3.76,SJ,1685986300
30,ulladulla,-35.35,150.4667,11.62,88,91,1.97,AU,1685986300
31,enewetak,11.3474,162.3373,27.59,81,92,3.96,MH,1685986300
32,vila franca do campo,37.7167,-25.4333,19.23,91,100,4.32,PT,1685986300
33,ouro sogui,15.6,-13.3167,41.74,11,76,3.6,SN,1685986300
34,edinburgh of the seven seas,-37.0676,-12.3116,12.53,82,100,15.75,SH,1685986301
35,haiku-pauwela,20.9219,-156.3051,23.91,77,20,1.34,US,1685986301
36,tamanrasset,22.785,5.5228,33.95,10,0,5.14,DZ,1685986301
37,tabou,4.423,-7.3528,26.2,86,100,3.48,CI,1685986301
